movie_id;title;genres;avg_rating;num_votes;budget;revenue;release_date;original_language;popularity;keywords
tt0053604;The Apartment;Comedy,Drama,Romance;8.3;181829;3000000;25000000;1960-06-21;en;16.24;new york city,new year's eve,lovesickness,age difference,suicide attempt,office,flat,spaghetti,winter,clerk,tennis racket,romantic comedy,black and white,extramarital affair,christmas
tt0053779;La dolce vita;Comedy,Drama;8.0;73692;0;19647000;1960-02-05;it;14.852;rome, italy,sea,loss of loved one,lovesickness,sunrise,newspaper,photographer,sadness,night life,fountain,dying and death,unsociability,cowardliness,ghost
tt0054047;The Magnificent Seven;Action,Adventure,Western;7.7;95541;2000000;4905000;1960-10-12;en;24.88;horse,village,friendship,remake,bandit,farmer,cowboy,white man's burden,henry rifle,hired gun
tt0054215;Psycho;Horror,Mystery,Thriller;8.5;669601;806947;50000000;1960-06-22;en;35.599;hotel,clerk,arizona,shower,rain,motel,taxidermy,money,secretary,black and white,corpse,murderer,theft,mental illness,private detective,missing person,proto-slasher
tt0054331;Spartacus;Adventure,Biography,Drama;7.9;135568;12000000;60000000;1960-10-13;en;43.444;gladiator,roman empire,gladiator fight,slavery,insurgence,ancient rome,epic,historical fiction,torture,ancient world,slave,technicolor,escaped slave,1st century
tt0054698;Breakfast at Tiffany's;Comedy,Drama,Romance;7.6;181057;2500000;9500000;1961-10-06;en;23.531;new york city,loss of loved one,age difference,cat,broken engagement,love of one's life,cigarette,jewelry,store window,millionaire
tt0054953;The Guns of Navarone;Action,Adventure,Drama;7.5;51769;6000000;28900000;1961-04-27;en;15.012;based on novel or book,world war ii,fort,allies,army
tt0054997;The Hustler;Drama,Sport;8.0;82452;2000000;7600000;1961-09-25;en;14.905;suicide,new york city,gambling,manager,alcohol,based on novel or book,pool billiards,hustler,sports,money,game,drunk
tt0055031;Judgment at Nuremberg;Drama,War;8.3;78038;3000000;10000000;1961-12-18;en;16.429;judge,concentration camp,world war ii,nazi,court case,national socialism,national socialist party,nuremberg trials,nuremberg, germany,right and justice,trial,courtroom drama
tt0055254;One Hundred and One Dalmatians;Adventure,Animation,Comedy;7.3;168889;4000000;85000000;1961-01-25;en;84.591;london, england,puppy,dog,dalmatian,female villain,pets
tt0055614;West Side Story;Crime,Drama,Musical;7.6;114572;6000000;43656822;1961-12-13;en;14.645;slum,street gang,love at first sight,showdown,puerto rico,immigrant,highway,forbidden love,musical,rivalry,feud,interracial relationship,based on play or musical,attempted rape,policeman,obsessive love,lifting female in air,young love,modern day adaptation,shakespeare in modern dress
tt0055630;Yojimbo;Action,Drama,Thriller;8.2;123313;0;0;1961-04-25;ja;16.724;japan,gambling,swordplay,samurai,sword,bodyguard,fighting,family,intrigue,ronin,revolver,edo period,feudal japan,19th century,asian western
